"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","3S 11.1V 2200 mAh Battery","","","","","~"
"BZ1","1","Buzzer","","","","","~"
"D1,D2,D3,D4,D5,D6,D7,D8","8","LED","","","","","~"
"M1,M2,M3,M4","4","Johnson Grade A 1000RPM Motors DC","","","","","~"
"R1,R2,R3,R4,R5,R6,R7,R8","8","4.7kohm resistor","","","","","~"
"RFID1","1","RC522 RFID reader/writer","","","","",""
"SW1","1","SW_SPST","","","","","~"
"U1","1","ESP8266","","","","",""
"U2","1","ESP32","","","","",""
"U3","1","MDD10A_REV2.0_CYTRON","","","","",""
"U4","1","4*4_Matrix_KeyPad","","","","",""
"U5","1","HC-SR04 Ultrasonic Sensor","","","","",""
"U6","1","I2C_LCD_ADAPTOR","","","","",""
"U7","1","LCD16*2","","","","",""
"U8","1","Buck Converter 11.1-3.3","","","","",""
